family,nador_2_counts,oualidia_2_counts,oualidia_1_counts,nador_1_counts
Funariaceae,13.16,32.0,35.0,12.49
Fusobacteriaceae,14.88,17.0,23.0,13.230000000000002
Geminigeraceae,8.34,22.0,22.0,1.66
Gemmataceae,9.17,10.0,12.0,9.89
Gemmatimonadaceae,2.56,7.0,7.0,0.0
Geobacteraceae,48.37,68.0,82.0,48.790000000000006
Geodermatophilaceae,3.38,7.0,9.0,5.74
Gigartinaceae,4.3,11.0,11.0,3.31
Gordoniaceae,1.63,8.0,7.0,0.0
Gracilariaceae,0.0,14.0,5.0,0.0
Hafniaceae,4.09,8.0,14.0,3.3099999999999996
Hahellaceae,69.17,59.0,66.0,93.68
Halobacteriaceae,1.68,7.0,8.0,6.68
Halomonadaceae,88.49999999999999,83.0,84.0,94.47000000000001
Halothiobacillaceae,13.879999999999999,6.0,9.0,14.23
Harrimaniidae,0.0,9.0,10.0,0.0
Helicobacteraceae,32.15,47.0,38.0,29.330000000000002
Hemiselmidaceae,0.0,5.0,2.0,0.0
Herpetosiphonaceae,11.34,9.0,7.0,17.24
Hexamitidae,1.62,3.0,4.0,1.72
Histionidae,3.35,19.0,19.0,7.23
Hominidae,90.76999999999998,157.0,160.0,89.96
Hydridae,1.63,6.0,15.0,3.25
Hydrogenophilaceae,12.959999999999999,26.0,27.0,13.599999999999998
Hydrogenothermaceae,25.5,14.0,9.0,18.69
Hyphomicrobiaceae,30.57,46.0,43.0,34.44
Hyphomonadaceae,126.77,125.0,108.0,135.91
Intrasporangiaceae,11.55,27.0,26.0,8.209999999999999
Ixodidae,1.65,9.0,11.0,0.0
Jonesiaceae,4.91,28.0,29.0,8.4
Kineosporiaceae,9.17,23.0,19.0,9.14
Kofleriaceae,19.630000000000003,27.0,25.0,20.400000000000002
Lachnospiraceae,23.14,25.0,27.0,20.97
Lactobacillaceae,12.540000000000001,26.0,31.0,10.71
Lasiosphaeriaceae,0.0,8.0,6.0,0.0
Lentisphaeraceae,26.06,52.0,47.0,40.99
Leporidae,0.0,3.0,4.0,0.0
Leptospiraceae,44.589999999999996,34.0,28.0,46.010000000000005
Leptotrichiaceae,0.0,16.0,17.0,3.19
Leuconostocaceae,1.72,7.0,4.0,0.0
Listeriaceae,8.26,14.0,17.0,7.49
Lumbricidae,2.48,0.0,0.0,3.34
Magnaporthaceae,4.8,13.0,15.0,4.97
Malasseziaceae,2.49,7.0,8.0,2.47
Mallomonadaceae,3.28,21.0,18.0,3.28
Mamiellaceae,36.68,79.0,85.0,36.800000000000004
Marasmiaceae,0.0,15.0,11.0,0.0
Merismopediaceae,37.24,18.0,11.0,39.55
Methanobacteriaceae,4.92,8.0,6.0,1.56
Methanocaldococcaceae,0.0,13.0,12.0,0.0
