,gene function,organism,nador_2_counts,phylum,class,order,family,oualidia_2_counts,oualidia_1_counts,nador_1_counts
19235,ruvB-like,Toxoplasma gondii ME49,,Apicomplexa,Coccidia,Eucoccidiorida,Sarcocystidae,2.0,1.0,
22847,ruvB-like 2-like isoform 1,Macaca mulatta,,Chordata,Mammalia,Primates,Cercopithecidae,,3.0,
