level1,nador_lagoon_1,nador_lagoon_2,oualidia_lagoon_1,oualidia_lagoon_2
Amino Acids and Derivatives,40326,37738,13407,12286
Cell Wall and Capsule,15672,14485,4824,4308
Motility and Chemotaxis,2388,2191,812,708
Nucleosides and Nucleotides,13111,12102,4402,4009
Potassium metabolism,1714,1610,548,494
RNA Metabolism,16637,15412,5797,5321
Sulfur Metabolism,3788,3457,1311,1159
"Virulence, Disease and Defense",8367,7670,2810,2524
